,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income,label
35,65,0,191846,11,9,2,0,0,4,1,0,0,40,39,0,1
36,36,2,403681,9,13,2,10,0,4,1,0,0,40,39,1,3
37,22,4,248446,4,3,4,9,1,4,1,0,0,50,13,0,4
38,17,4,269430,0,6,4,7,1,4,1,0,0,40,39,0,4
39,20,4,257509,11,9,4,3,3,4,1,0,0,40,39,0,4
40,65,4,136384,12,14,2,10,0,4,1,0,0,50,39,1,1
41,44,5,120277,8,11,2,12,0,4,1,0,0,45,39,1,2
42,36,4,465326,11,9,2,5,0,4,1,0,0,40,39,0,3
43,29,4,103634,1,7,2,8,0,4,1,0,0,40,39,0,2
44,20,7,138371,15,10,4,5,3,4,1,0,0,32,39,0,1
45,28,4,242832,8,11,2,10,5,4,0,0,0,36,39,1,4
46,39,4,290208,5,4,2,3,0,4,1,0,0,40,26,0,4
47,54,4,186272,15,10,2,14,0,4,1,3908,0,50,39,0,1
48,52,4,201062,1,7,5,9,1,2,0,0,0,18,39,0,1
49,56,5,131916,11,9,6,4,1,4,0,0,0,50,39,0,1
50,18,4,54440,15,10,4,8,3,4,1,0,0,20,39,0,2
51,39,4,280215,11,9,0,6,3,2,1,0,0,40,39,0,4
52,21,4,214399,15,10,4,8,3,4,0,0,1721,24,39,0,4
53,22,4,54164,11,9,4,8,1,4,1,14084,0,60,39,1,2
54,38,4,219446,6,5,3,4,1,4,1,0,0,54,26,0,4
55,21,4,110677,15,10,4,1,3,4,0,0,0,40,39,0,2
56,63,4,145985,11,9,2,3,0,4,1,0,0,40,39,0,1
57,34,2,382078,9,13,2,4,0,4,1,3103,0,50,39,1,3
58,42,5,170721,11,9,2,4,0,4,1,5178,0,50,39,1,1
59,33,4,269705,11,9,2,6,0,4,1,0,0,40,39,0,4
60,30,4,101135,9,13,4,4,1,4,0,0,0,50,39,0,2
61,39,4,118429,15,10,0,12,1,4,1,0,0,40,39,0,2
62,26,4,31208,12,14,4,4,1,4,0,0,0,40,39,0,2
63,33,4,281384,11,9,4,7,3,4,0,0,0,40,39,0,4
64,47,2,171807,11,9,0,1,1,4,0,0,0,40,39,0,1
65,41,4,109912,9,13,4,8,1,4,0,0,0,40,0,0,2
66,41,5,445382,7,12,2,3,0,4,1,15024,0,60,39,1,3
67,19,4,105460,15,10,4,8,3,4,1,0,0,20,39,0,2
68,46,4,170338,11,9,5,14,1,4,1,0,0,40,39,0,1
69,43,4,102606,11,9,2,12,0,4,1,0,0,48,39,0,2
70,55,4,323887,15,10,2,4,0,4,1,15024,0,45,39,1,3
71,46,4,175622,8,11,2,13,0,4,1,0,0,40,39,0,1
72,30,4,229636,11,9,2,7,0,4,1,0,0,40,26,0,4
73,21,4,388946,15,10,5,6,1,4,0,0,0,40,39,0,3
74,46,4,269034,15,10,2,3,0,3,1,0,0,40,6,0,4
75,17,0,165361,0,6,4,0,3,4,1,0,0,40,39,0,1
76,41,4,75012,11,9,2,7,0,4,1,0,0,50,39,0,2
77,69,5,174379,11,9,2,12,0,4,1,0,0,30,39,0,1
78,50,4,312477,11,9,2,14,0,4,1,0,0,40,39,0,3
79,20,4,72055,15,10,4,1,1,4,0,0,0,40,39,0,2
80,45,5,67001,15,10,2,7,0,4,1,0,0,50,39,0,2
81,23,4,213734,9,13,4,4,1,4,1,0,0,40,39,0,1
82,24,4,83141,15,10,5,8,1,4,1,0,1876,40,39,0,2
83,44,5,223881,11,9,2,3,0,4,1,99999,0,50,0,1,4
84,31,6,113752,15,10,2,3,0,4,1,0,0,50,39,0,2
85,43,4,170482,11,9,5,7,1,4,0,0,0,44,39,0,1
86,20,1,244689,1,7,4,8,3,4,0,0,0,10,39,0,4
87,55,4,160631,11,9,2,12,0,4,1,0,0,56,39,1,1
88,24,1,228724,15,10,4,2,1,4,1,0,0,40,39,0,4
89,41,0,38434,12,14,2,0,5,4,0,7688,0,10,39,1,2
90,59,4,292946,9,13,4,4,1,4,0,0,0,25,39,0,4
91,49,1,77443,5,4,4,8,1,2,1,0,0,20,39,0,2
92,33,4,176410,12,14,2,10,5,4,0,5178,0,10,39,1,1
93,59,1,98984,9,13,0,1,1,4,1,0,0,40,39,0,2
94,34,4,198751,12,14,4,8,1,0,1,0,0,40,39,0,1
95,20,4,479296,11,9,4,6,3,4,1,0,0,40,39,0,3
96,25,4,235218,9,13,4,4,3,4,0,0,0,40,39,0,4
97,49,4,164877,0,6,2,5,0,4,1,0,0,40,39,0,1
98,59,4,272087,11,9,2,14,0,4,1,0,0,40,39,1,4
99,20,4,169699,11,9,4,1,1,4,0,0,0,40,39,0,1
100,51,0,189762,15,10,2,0,5,4,0,0,0,18,39,0,1
101,33,4,202191,15,10,4,1,4,2,0,0,0,35,39,0,1
102,22,4,212261,15,10,4,14,3,2,1,0,0,39,39,0,1
103,58,6,301568,6,5,6,8,1,4,0,0,0,40,39,0,4
104,52,2,155233,11,9,6,1,4,4,0,0,0,28,39,0,1
105,36,4,75826,0,6,5,7,1,4,0,0,0,40,39,0,2
106,41,2,201520,11,9,2,11,0,4,1,0,0,40,39,0,1
107,28,4,154236,11,9,4,14,3,4,1,2597,0,40,39,0,1
108,19,4,289227,15,10,4,6,3,2,1,0,0,16,39,0,4
109,18,4,217439,11,9,4,8,1,4,0,0,0,28,39,0,4
110,18,4,179020,11,9,4,7,3,4,0,0,0,48,39,0,1
111,28,4,149624,15,10,2,3,0,4,1,0,0,40,39,0,1
112,29,4,337266,8,11,2,4,0,4,1,0,0,40,39,1,3
113,20,0,30796,11,9,4,0,3,4,0,0,0,20,39,0,2
114,40,4,103541,15,10,2,6,0,4,1,0,0,40,39,0,2
115,26,4,206721,11,9,4,6,4,4,1,0,0,40,39,0,1
116,46,4,96773,11,9,2,3,0,4,1,0,0,40,39,0,2
117,23,4,200967,1,7,4,8,1,4,0,0,0,24,39,0,1
118,44,4,180019,11,9,3,1,4,4,0,0,0,40,39,0,1
119,43,4,179866,9,13,0,12,4,4,0,0,0,40,39,1,1
120,31,2,198770,9,13,0,10,4,4,0,0,0,60,39,0,1
121,18,4,219256,15,10,4,12,3,4,0,0,0,25,39,0,4
122,19,4,248730,15,10,4,11,3,4,1,0,0,30,39,0,4
123,41,4,110732,15,10,0,13,1,4,0,0,0,40,39,0,2
124,41,4,181020,11,9,0,6,4,4,0,0,0,40,39,0,1
125,69,4,183791,11,9,0,1,1,4,0,0,0,25,39,0,1
126,48,1,42972,10,16,2,10,5,4,0,0,0,40,39,1,2
127,28,4,134813,11,9,4,10,3,4,1,0,0,40,39,0,1
128,27,6,115438,11,9,2,3,0,4,1,0,0,60,21,1,2
129,41,4,239296,12,14,2,10,0,4,1,0,2415,50,39,1,4
130,41,4,428420,15,10,2,1,0,4,1,0,0,40,39,0,3
131,24,4,247846,11,9,4,3,4,2,0,0,0,40,39,0,4
132,20,0,334105,11,9,4,0,1,4,0,0,0,40,39,0,3
133,42,5,100793,10,16,2,10,0,4,1,0,0,41,39,1,2
134,57,4,244478,11,9,2,3,0,2,1,0,0,48,39,0,4
135,30,4,142921,7,12,4,10,1,4,0,0,0,40,39,0,1
136,36,4,182863,11,9,2,12,0,4,1,0,0,60,39,1,1
137,49,4,171128,5,4,2,7,0,2,1,0,0,40,39,0,1
138,33,4,145402,11,9,2,7,5,4,0,0,0,35,39,0,1
139,23,4,306309,0,6,2,5,0,4,1,0,0,40,39,0,4
140,46,4,83822,12,14,2,10,0,4,1,0,0,40,39,0,2
141,18,4,262118,15,10,4,1,3,1,0,0,0,22,11,0,4
142,40,4,155972,11,9,2,4,0,4,1,7688,0,55,39,1,1
143,43,5,214503,11,9,2,4,0,4,1,0,1887,45,39,1,4
144,34,4,159303,12,14,4,10,3,4,0,0,0,30,39,0,1
145,47,6,174995,11,9,6,4,1,4,0,0,0,30,39,0,1
146,44,4,26669,8,11,6,4,4,4,0,0,0,30,39,0,2
147,33,4,177727,11,9,2,12,0,4,1,0,0,40,39,1,1
148,55,4,124771,9,13,2,4,0,4,1,15024,0,50,39,1,2
149,19,4,456736,11,9,4,12,1,4,1,2907,0,30,39,0,3
150,28,4,216604,15,10,4,8,1,2,1,0,0,14,39,0,4
151,27,4,221561,1,7,2,8,5,2,0,0,0,32,39,0,4
152,50,4,114564,5,4,2,7,0,4,1,0,0,20,39,0,2
153,22,4,315476,1,7,4,3,4,4,1,0,0,40,39,0,3
154,40,7,67874,9,13,2,1,0,4,1,0,1887,45,39,1,2
155,25,4,126110,15,10,4,1,3,4,0,0,0,40,39,0,2
156,26,2,102264,11,9,4,3,1,4,1,0,0,40,39,0,2
157,22,4,537222,9,13,4,12,1,4,1,0,0,25,39,0,0
158,42,4,113732,15,10,4,6,4,2,0,0,625,40,39,0,2
159,38,5,93225,9,13,0,4,1,4,1,0,0,40,39,0,2
160,55,4,43064,1,7,2,8,0,4,1,0,0,30,39,0,2
161,32,4,136921,11,9,2,12,0,4,1,0,0,40,39,0,1
162,22,4,388885,11,9,2,3,0,4,1,0,0,45,39,0,3
163,29,4,142249,9,13,4,12,3,4,1,0,0,40,39,0,1
164,46,7,56841,12,14,2,4,0,4,1,0,0,45,39,1,2
165,31,4,156493,15,10,2,4,0,4,1,0,0,40,39,1,1
166,58,6,159021,10,16,2,10,0,4,1,0,0,16,39,1,1
167,42,4,190910,11,9,2,3,0,4,1,0,0,45,39,0,1
168,18,4,41879,11,9,4,6,4,4,1,0,0,25,39,0,2
169,58,2,137249,11,9,0,4,1,4,1,0,0,33,39,0,1
170,54,4,236157,11,9,2,10,0,4,1,0,1887,40,39,1,4
171,34,4,189759,12,14,4,10,1,4,1,0,0,40,39,0,1
172,26,4,239877,9,13,4,1,1,4,0,0,0,40,39,0,4
173,61,4,21175,2,8,2,4,0,4,1,0,0,60,39,0,2
174,48,2,67229,12,14,5,1,4,2,0,0,0,40,39,0,2
175,36,4,236391,15,10,2,4,0,4,1,0,0,45,39,1,4
176,24,4,325596,8,11,2,7,0,4,1,0,0,45,39,0,3
177,40,4,83411,15,10,2,7,0,4,1,0,0,37,39,0,2
178,33,5,154227,11,9,2,12,0,4,1,0,0,50,39,1,1
179,37,4,248010,15,10,2,7,0,4,1,0,1887,40,39,1,4
180,34,4,198613,12,14,4,4,3,4,1,4650,0,40,39,0,1
181,56,5,321529,15,10,2,4,0,4,1,15024,0,40,39,1,3
182,28,0,168524,11,9,2,0,3,4,0,0,0,38,39,1,1
183,37,4,203079,9,13,6,4,1,4,0,0,0,55,39,0,1
184,44,4,284652,11,9,0,12,4,2,0,0,0,40,39,0,4
185,64,0,201368,15,10,2,0,0,4,1,0,0,8,39,0,1
186,54,4,59840,11,9,0,6,1,4,1,0,0,45,39,0,2
187,23,4,52753,11,9,4,7,1,4,1,0,0,50,39,0,2
188,34,7,513100,9,13,3,5,1,2,1,0,0,40,0,0,0
189,22,4,199266,11,9,4,8,1,4,0,0,0,45,39,0,1
190,33,4,196385,9,13,2,4,0,4,1,0,1977,40,39,1,1
191,39,4,163205,9,13,5,10,1,4,1,0,0,50,39,1,1
192,47,4,411047,15,10,0,1,1,2,0,0,0,37,39,0,3
193,79,0,48574,5,4,6,0,1,4,1,0,0,40,39,0,2
194,26,4,209440,11,9,4,10,4,2,0,0,0,55,39,0,1
195,31,4,56964,15,10,0,4,4,4,0,0,0,40,39,0,2
196,44,4,299197,15,10,4,14,1,4,1,0,0,45,39,0,4
197,42,5,240628,14,15,2,10,5,4,0,0,0,50,39,1,4
198,19,4,355313,11,9,4,7,1,4,0,0,0,40,39,0,3
199,27,4,132267,11,9,2,6,0,4,1,0,0,40,39,1,1
200,51,2,174861,15,10,2,11,0,4,1,0,0,40,39,1,1
201,28,5,142443,9,13,2,4,0,4,1,0,0,50,39,0,1
202,57,4,26716,9,13,0,3,1,4,1,0,0,45,39,0,2
203,45,2,185588,9,13,0,10,4,4,0,0,0,40,39,0,1
204,50,4,175029,8,11,2,10,0,4,1,0,0,40,39,1,1
205,34,5,34848,9,13,2,12,0,4,1,0,0,54,39,0,2
206,45,4,411273,5,4,2,3,0,2,1,0,0,40,39,0,3
207,73,2,143437,11,9,2,4,0,4,1,0,0,20,39,0,1
208,34,4,357145,9,13,2,10,5,4,0,0,0,50,39,1,3
209,31,4,236861,15,10,2,12,0,4,1,0,0,55,39,1,4
210,19,4,53355,1,7,4,12,1,4,1,0,0,12,39,0,2
211,25,4,29106,15,10,4,8,3,4,0,0,0,50,39,0,2
212,38,1,213274,8,11,0,3,4,4,0,6497,0,40,39,0,1
213,39,4,22463,9,13,2,14,0,4,1,0,0,40,39,0,2
214,23,4,180497,9,13,4,13,3,2,0,0,0,32,39,0,1
215,49,4,37306,11,9,2,7,0,4,1,0,0,40,39,0,2
216,33,1,137814,11,9,4,8,1,4,1,0,0,32,39,0,1
217,21,4,447488,4,3,4,7,2,4,1,0,0,38,26,0,3
218,31,4,220915,8,11,5,3,1,4,1,0,0,40,39,0,4
219,23,4,42251,9,13,4,4,1,4,0,0,0,45,39,0,2
220,34,4,162312,9,13,2,1,0,1,1,0,0,40,30,0,1
221,25,4,77698,11,9,4,7,1,1,0,0,0,40,30,0,2
222,39,4,282951,11,9,4,3,4,4,1,0,0,40,39,0,4
223,52,5,311259,11,9,2,12,0,4,1,0,0,40,39,1,4
224,63,2,65479,6,5,2,14,0,4,1,7688,0,40,39,1,2
225,41,4,277256,15,10,2,3,0,4,1,0,0,40,39,0,4
226,46,4,312088,9,13,2,10,0,4,1,15024,0,38,39,1,4
227,53,2,169719,11,9,2,4,0,4,1,0,0,40,39,0,1
228,25,0,270276,6,5,5,0,1,4,0,1055,0,40,39,0,4
229,77,0,172744,15,10,2,0,0,4,1,0,0,35,39,0,1
230,18,4,96869,2,8,4,9,3,4,1,0,0,40,39,0,2
231,38,4,237943,14,15,2,10,0,4,1,0,0,50,39,0,4
232,55,4,119751,12,14,4,4,4,1,0,0,0,50,37,0,2
233,34,4,236861,11,9,2,13,0,4,1,0,0,40,39,1,4
234,80,6,201092,11,9,2,8,0,4,1,0,0,30,39,0,1
235,34,4,147215,8,11,0,13,4,4,0,0,0,60,39,0,1
236,52,4,152373,15,10,2,13,0,4,1,5013,0,40,39,0,1
237,42,4,227968,11,9,4,8,4,2,0,0,0,28,14,0,4
238,26,4,362617,15,10,4,12,1,4,0,0,0,40,39,0,3
239,31,4,103435,11,9,2,14,0,4,1,0,0,40,39,0,2
240,25,2,281412,11,9,4,8,3,4,0,0,0,35,39,0,4
241,55,6,105239,11,9,2,3,0,4,1,0,2057,60,39,0,2
242,19,4,230165,15,10,4,8,3,4,0,0,0,12,39,0,4
243,62,6,177493,15,10,2,14,0,4,1,0,0,32,39,0,1
244,22,1,104443,15,10,4,1,3,4,0,0,0,20,39,0,2
245,39,0,110342,11,9,2,0,5,4,0,0,0,50,39,0,2
246,35,4,143385,11,9,2,6,0,4,1,0,0,40,39,0,1
247,28,4,107189,11,9,2,12,3,4,0,0,0,40,39,0,2
248,47,4,212944,11,9,2,14,0,4,1,0,0,70,39,1,1
249,44,7,138634,11,9,2,7,0,4,1,0,0,40,39,0,1
250,21,4,99970,15,10,4,12,3,4,1,0,0,15,39,0,2
251,35,4,203717,8,11,4,3,1,4,1,0,0,50,39,0,1
252,24,4,313956,9,13,2,10,0,4,1,0,0,40,39,1,3
253,42,1,177937,9,13,4,10,1,4,1,0,0,40,0,0,1
254,28,4,193868,9,13,4,13,3,4,1,0,0,50,39,0,1
255,21,4,250939,15,10,4,7,2,4,1,0,0,35,39,0,4
256,62,1,57629,15,10,0,13,1,2,1,4650,0,40,39,0,2
257,39,4,281768,11,9,4,8,1,2,0,0,0,40,39,0,4
258,30,7,260782,11,9,4,8,1,4,1,0,0,40,39,0,4
259,72,6,243769,14,15,4,10,1,4,1,0,1429,20,39,0,4
260,50,4,109937,15,10,2,4,5,4,0,0,0,50,39,0,2
261,28,2,134890,12,14,4,10,1,4,1,0,0,40,39,0,1
262,29,4,100293,15,10,4,10,1,4,0,0,0,40,39,0,2
263,26,4,132179,9,13,4,1,3,4,0,0,0,40,39,0,1
264,27,4,116372,12,14,4,4,1,4,0,0,0,40,39,0,2
265,29,4,255412,15,10,2,6,0,4,1,3103,0,40,39,1,4
266,61,0,195789,11,9,2,0,0,4,1,0,0,40,39,0,1
267,29,4,342400,0,6,2,3,0,4,1,0,0,25,39,0,3
268,21,0,65481,15,10,4,0,3,4,0,0,0,30,39,0,2
269,31,4,169085,1,7,2,12,5,4,0,0,0,20,39,0,1
270,25,4,177221,11,9,2,4,0,4,1,0,0,75,39,0,1
271,58,4,65325,0,6,2,14,0,4,1,0,0,40,39,1,2
272,64,4,118944,15,10,2,4,5,4,0,0,0,40,39,1,2
273,46,7,149337,12,14,4,4,1,4,1,0,0,38,39,0,1
274,53,0,237868,11,9,2,0,0,4,1,0,0,35,39,1,4
275,19,4,106183,11,9,4,8,3,0,0,0,0,35,39,0,2
276,42,4,226388,11,9,0,8,1,2,1,0,0,52,39,0,4
277,18,4,220754,1,7,4,6,3,4,1,0,0,24,39,0,4
278,58,5,204021,9,13,2,3,0,4,1,15024,0,50,39,1,1
279,20,4,347391,15,10,4,11,1,2,1,0,0,60,39,0,3
280,35,1,413930,11,9,2,3,0,4,1,0,0,40,39,1,3
281,32,4,174201,11,9,2,6,0,4,1,0,0,38,39,1,1
282,23,4,145917,11,9,4,6,1,4,0,0,0,25,39,0,1
283,31,4,241797,15,10,0,13,4,4,0,0,0,40,39,0,4
284,33,4,265168,9,13,2,12,0,2,1,0,0,55,39,0,4
285,41,4,171234,15,10,4,7,1,4,0,0,0,48,39,0,1
286,22,4,178452,11,9,4,7,3,2,1,0,0,40,39,0,1
287,46,4,157857,15,10,2,11,0,4,1,0,0,40,39,1,1
288,61,1,512864,15,10,2,14,0,2,1,0,0,40,39,0,0
289,30,4,296462,11,9,4,4,1,2,1,0,0,40,39,0,4
290,42,4,171615,11,9,2,4,0,4,1,0,0,55,39,1,1
291,63,4,214071,0,6,2,6,0,4,1,0,0,40,39,0,1
292,26,4,172421,15,10,2,12,0,4,1,0,0,40,39,0,1
293,42,4,195488,0,6,0,1,4,4,0,0,0,40,39,0,1
294,23,4,316841,15,10,2,8,0,4,1,0,0,40,39,0,3
295,25,4,236267,11,9,4,7,4,4,1,0,1590,40,39,0,4
296,30,4,236543,6,5,2,8,0,4,1,0,0,32,8,1,4
297,23,4,318483,11,9,4,12,3,4,1,0,0,40,39,0,3
298,34,6,163756,8,11,4,5,1,4,1,27828,0,60,39,1,1
299,30,4,238186,11,9,2,7,2,4,1,0,2057,48,39,0,4
300,39,4,329980,15,10,2,3,0,4,1,0,0,40,39,1,3
301,30,4,169269,1,7,4,6,2,4,1,0,1721,38,33,0,1
302,38,2,34744,15,10,0,1,4,4,0,0,0,38,39,0,2
303,26,4,98114,11,9,0,4,3,4,0,0,0,40,39,0,2
304,20,4,109667,15,10,4,6,3,4,1,0,0,16,39,0,2
305,37,2,263690,9,13,4,10,4,2,1,0,0,40,0,0,4
306,33,4,147430,11,9,2,1,3,4,0,0,0,40,39,0,1
307,24,4,224238,9,13,4,1,3,4,1,0,0,40,39,0,4
308,42,5,212894,9,13,2,4,0,4,1,0,0,60,39,1,1
309,51,6,136708,11,9,2,12,0,1,1,3103,0,84,40,0,1
310,56,2,38573,7,12,2,13,0,4,1,0,0,45,39,1,2
311,22,4,197200,15,10,4,6,3,4,1,0,0,40,39,0,1
312,52,6,182796,15,10,2,5,0,4,1,0,0,60,39,0,1
313,44,4,184527,9,13,0,4,4,4,0,4934,0,45,39,1,1
314,34,4,145231,11,9,2,1,5,4,0,4064,0,35,39,0,1
315,51,4,43354,15,10,0,3,1,4,1,0,0,42,39,1,2
316,20,0,318865,15,10,4,0,1,4,1,0,0,40,39,0,3
317,19,4,355712,15,10,4,12,1,4,0,0,0,25,39,0,3
318,37,4,98776,9,13,2,4,0,4,1,0,0,40,39,1,2
319,68,4,257557,11,9,2,7,0,2,1,0,0,40,39,1,4
320,22,4,102258,15,10,0,11,1,4,1,0,0,40,39,0,2
321,56,5,170287,9,13,2,4,0,4,1,0,0,40,39,0,1
322,37,4,243409,11,9,2,3,0,4,1,0,0,40,39,0,4
323,52,4,55608,3,2,2,7,0,4,1,0,0,40,26,0,2
324,26,4,248057,11,9,5,6,3,4,1,0,0,40,33,0,4
325,33,4,95530,12,14,2,10,0,4,1,0,0,50,39,0,2
326,45,2,54038,12,14,0,10,4,4,0,0,0,42,39,0,2
327,18,4,161245,1,7,4,8,3,4,1,0,0,15,39,0,1
328,43,6,388725,15,10,2,5,0,4,1,0,0,60,39,1,3
329,64,6,71807,10,16,2,10,0,4,1,15024,0,50,0,1,2
330,18,4,228216,11,9,4,6,3,4,1,0,0,20,39,0,4
331,20,0,303121,15,10,4,0,3,4,1,0,0,45,39,0,4
332,57,4,78020,11,9,2,3,0,4,1,0,0,40,39,1,2
333,41,4,249254,11,9,0,1,4,4,0,3674,0,42,39,0,4
334,34,4,87218,12,14,2,4,0,4,1,0,1887,50,39,1,2
335,19,4,304299,11,9,4,12,4,4,0,0,0,40,39,0,4
336,44,4,196234,6,5,0,8,4,4,0,0,0,55,6,0,1
337,56,4,197875,0,6,6,8,4,4,0,0,0,40,39,0,1
338,36,5,48063,11,9,2,5,0,4,1,0,0,80,39,0,2
339,48,4,253596,9,13,0,4,4,4,0,0,0,48,39,0,4
340,29,4,39257,11,9,2,14,0,4,1,0,0,40,39,1,2
341,33,4,56150,9,13,4,3,1,4,1,2174,0,40,39,0,2
342,31,4,179415,4,3,2,8,0,4,1,0,0,40,26,0,1
343,39,4,252445,12,14,2,10,0,4,1,0,0,45,39,1,4
344,66,4,275918,11,9,2,4,0,4,1,10605,0,40,39,1,4
345,27,4,106562,9,13,4,10,1,4,0,0,0,50,39,1,2
346,39,4,198654,11,9,0,4,4,2,0,99999,0,40,39,1,1
347,59,4,107318,5,4,2,3,0,4,1,5178,0,50,39,1,2
348,26,4,181896,11,9,4,8,3,4,0,0,0,40,39,0,1
349,31,4,106014,8,11,0,3,4,4,1,0,0,40,39,0,2
350,45,0,319993,11,9,6,0,4,4,0,0,0,40,26,0,3
351,23,4,197997,11,9,4,6,3,4,1,0,0,30,39,0,1
352,36,2,173542,11,9,0,1,4,4,0,0,0,40,39,0,1
353,34,4,207564,15,10,2,8,5,4,0,0,0,12,39,1,1
354,32,4,224462,11,9,2,14,0,4,1,0,0,84,39,1,4
355,37,4,123361,9,13,2,10,0,2,1,0,0,50,39,1,2
356,33,4,90409,9,13,4,12,1,4,1,0,0,45,39,0,2
357,50,6,165001,14,15,2,10,0,4,1,99999,0,80,39,1,1
358,32,1,149573,7,12,4,11,1,2,1,0,0,40,39,0,1
359,35,4,249456,9,13,4,1,3,2,0,0,0,40,39,0,4
360,37,4,149898,1,7,2,3,0,4,1,0,0,40,39,0,1
361,44,4,292985,15,10,0,3,1,4,1,0,0,60,39,0,4
362,57,4,50223,15,10,0,6,2,4,1,0,0,25,39,0,2
363,29,2,400074,15,10,2,4,3,4,0,0,0,40,39,0,3
364,55,4,197399,11,9,2,3,0,4,1,0,0,50,39,1,1
365,43,5,209547,14,15,2,10,0,4,1,0,0,25,39,1,1
366,43,4,52433,15,10,2,12,0,4,1,0,0,70,39,0,2
367,45,6,355978,15,10,2,12,0,4,1,0,0,60,39,1,3
368,33,6,48214,12,14,2,10,5,4,0,0,0,8,39,0,2
369,26,4,190873,0,6,0,8,4,4,0,0,0,40,11,0,1
370,23,4,278390,15,10,2,12,0,4,1,0,0,68,39,0,4
371,41,4,203217,5,4,5,3,1,4,1,0,0,40,26,0,1
372,24,4,279175,11,9,2,3,0,4,1,0,0,40,39,0,4
373,47,6,194590,9,13,2,12,0,4,1,0,0,44,39,0,1
374,34,6,198813,11,9,4,3,3,4,1,0,0,45,39,0,1
375,40,4,187294,11,9,2,4,0,4,1,0,0,40,39,1,1
376,28,4,302903,9,13,2,10,5,1,0,0,1485,40,39,0,4
377,24,4,154835,11,9,4,4,3,1,0,0,0,40,35,0,1
378,73,0,73402,15,10,2,0,0,4,1,0,0,10,39,0,2
379,23,4,100345,11,9,4,3,2,4,1,0,0,15,39,0,2
380,43,6,126320,11,9,2,4,0,2,1,0,0,40,39,1,2
381,26,4,142226,9,13,0,13,1,4,0,0,0,40,39,0,1
382,58,6,112076,10,16,1,4,5,4,0,0,1485,35,39,1,2
383,52,4,225339,11,9,6,1,4,2,0,0,0,35,39,0,4
384,29,4,211208,1,7,2,14,0,4,1,0,0,99,39,1,1
385,47,4,200808,1,7,2,8,0,4,1,0,0,35,4,0,1
386,49,4,220618,11,9,0,1,4,2,0,0,0,37,39,0,4
387,40,4,210493,1,7,6,1,4,4,0,0,0,40,39,0,1
388,62,6,369734,11,9,2,1,5,4,0,0,0,40,39,0,3
389,49,4,27898,11,9,2,4,0,4,1,0,1977,55,39,1,2
390,50,4,138193,9,13,0,10,2,4,0,0,0,50,39,1,1
391,31,4,224234,11,9,4,14,3,2,1,0,0,40,39,0,4
392,48,2,188741,12,14,4,10,1,4,0,0,0,50,39,0,1
393,24,4,183772,11,9,4,3,4,4,0,0,0,40,39,0,1
